Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2022-128508 PR,Residential ,48,New,16,7,Tech Master Review,2
2022-128606 PR,Residential ,55,Addition and Remodel,6,1,Residential Zoning Review,2
2022-128613 PR,Residential ,128,Demolition,3,0,Historic Preservation,1
2022-128644 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-128722 PR,Residential ,14,Demolition,3,0,Historic Preservation,1
2022-128733 PR,Residential ,37,New,14,6,Tech Master Review,2
2022-129053 PR,Residential ,0,Repair,1,0,None,0
2022-129065 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-129077 PR,Commericial ,20,Remodel,11,0,Commercial Building Plans,1
2022-129115 PR,Residential ,0,Repair,1,0,None,0
2022-129173 PR,Residential ,72,New,6,2,Residential Zoning Review,2
2022-129189 PR,Commericial ,28,Remodel,12,0,Commercial Building Plans,1
2022-129217 PR,Residential ,50,New,8,3,Residential Zoning Review,2
2022-129256 PR,Residential ,20,Demolition,3,0,Historic Preservation,1
2022-129274 PR,Residential ,15,Addition and Remodel,3,0,Residential Zoning Review,1
2022-129277 PR,Residential ,15,Demolition,2,0,Tree Ordinance Review,1
2022-129278 PR,Residential ,173,New,12,4,Residential Zoning Review,2
2022-129347 PR,Residential ,68,Addition and Remodel,13,4,Residential Zoning Review,3
2022-129453 PR,Commericial ,43,Remodel,21,9,Building Plans - Electrical,3
2022-129461 PR,Residential ,132,New,7,3,Residential Zoning Review,2
2022-129487 PR,Residential ,28,Addition and Remodel,6,2,Residential Zoning Review,2
2022-129499 PR,Residential ,166,New,7,3,Residential Zoning Review,2
2022-129523 PR,Residential ,64,Demolition,3,0,Historic Preservation,1
2022-129532 PR,Residential ,96,New,7,2,Residential Zoning Review,2
2022-129573 PR,Residential ,69,Addition and Remodel,9,3,Residential Zoning Review,2
2022-129576 PR,Commericial ,173,New,22,7,Fire Review,3
2022-129647 PR,Residential ,20,Demolition,4,2,Historic Preservation,2
2022-129687 PR,Residential ,0,Repair,1,0,None,0
2022-129694 PR,Residential ,0,Repair,1,0,None,0
2022-129706 PR,Residential ,0,Repair,1,0,None,0
2022-129766 PR,Residential ,0,Repair,1,0,None,0
2022-129799 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-129826 PR,Residential ,0,Repair,1,0,None,0
2022-129856 PR,Residential ,97,Addition and Remodel,10,2,Residential Zoning Review,2
2022-129878 PR,Commericial ,1,Remodel,4,0,Commercial Building Plans,1
2022-129925 PR,Commericial ,47,New,22,9,Commercial Zoning Review,3
2022-130132 PR,Residential ,27,Addition and Remodel,5,2,Residential Zoning Review,2
2022-130190 PR,Residential ,162,New,13,5,Residential Zoning Review,2
2022-130290 PR,Residential ,69,Addition and Remodel,9,3,Residential Zoning Review,2
2022-130300 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-130308 PR,Commericial ,104,Remodel,15,5,Commercial Building Plans,2
2022-130348 PR,Residential ,131,Addition and Remodel,13,4,Tree Ordinance Review,3
2022-130434 PR,Residential ,0,Repair,1,0,None,0
2022-130453 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-130522 PR,Residential ,0,Repair,1,0,None,0
2022-130532 PR,Commericial ,21,Remodel,15,2,Building Plans - Electrical,2
2022-130536 PR,Residential ,95,Addition and Remodel,8,3,Residential Zoning Review,2
2022-130539 PR,Residential ,0,Repair,1,0,None,0
2022-130626 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-130699 PR,Residential ,13,Demolition,3,0,Historic Preservation,1
2022-130757 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-130811 PR,Residential ,0,Repair,1,0,None,0
2022-130900 PR,Commericial ,38,Remodel,14,3,Building Plans - Electrical,2
2022-130923 PR,Commericial ,12,Demolition,2,0,Historic Preservation,1
2022-130978 PR,Residential ,53,Demolition,4,1,Historic Preservation,2
2022-130994 PR,Residential ,55,Demolition,4,1,Historic Preservation,2
2022-131087 PR,Commericial ,54,Remodel,14,2,Building Plans - Electrical,2
2022-131107 PR,Commericial ,27,Remodel,11,2,Building Plans - Electrical,2
2022-131201 PR,Residential ,22,Addition and Remodel,2,0,Residential Zoning Review,1
2022-131245 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-131255 PR,Commericial ,2,Remodel,4,0,Commercial Building Plans,1
2022-131393 PR,Commericial ,21,Remodel,4,0,Commercial Building Plans,1
2022-131665 PR,Commericial ,52,Remodel,13,1,Building Plans - Electrical,2
2022-131744 PR,Residential ,66,New,9,4,Residential Zoning Review,2
2022-131803 PR,Commericial ,67,Remodel,15,2,ATD SIF Review,3
2022-131981 PR,Residential ,0,Repair,1,0,None,0
2022-132045 PR,Residential ,70,Addition and Remodel,7,3,Residential Zoning Review,2
2022-132282 PR,Residential ,0,Repair,1,0,None,0
2022-132286 PR,Residential ,101,Addition and Remodel,6,2,Tech Master Review,3
2022-132547 PR,Residential ,0,Repair,1,0,None,0
2022-132569 PR,Residential ,10,Repair,2,0,Flood Plain Review,1
2022-132799 PR,Residential ,68,Addition and Remodel,5,2,Residential Zoning Review,2
2022-132897 PR,Commericial ,107,Remodel,19,5,Commercial Building Plans,2
2022-132967 PR,Residential ,0,Repair,1,0,None,0
2022-132983 PR,Residential ,0,Repair,1,0,None,0
2022-133019 PR,Residential ,0,Repair,1,0,None,0
2022-133214 PR,Commericial ,6,Demolition,1,0,None,0
2022-133242 PR,Residential ,0,Repair,1,0,None,0
2022-133247 PR,Residential ,156,Addition and Remodel,16,5,Residential Zoning Review,3
2022-133250 PR,Residential ,0,Repair,1,0,None,0
2022-133364 PR,Residential ,156,New,16,7,Tech Master Review,2
2022-133393 PR,Residential ,14,Demolition,2,0,Historic Preservation,1
2022-133478 PR,Residential ,74,New,14,5,AE BSPA,4
2022-133543 PR,Residential ,35,New,16,7,Tech Master Review,2
2022-133567 PR,Residential ,50,Demolition,4,1,Tree Ordinance Review,2
2022-133594 PR,Residential ,42,New,15,6,Tech Master Review,2
2022-133632 PR,Residential ,12,Demolition,3,0,Historic Preservation,1
2022-133828 PR,Commericial ,19,Remodel,16,4,Commercial Building Plans,2
2022-133838 PR,Residential ,63,New,11,3,Residential Zoning Review,3
2022-133854 PR,Residential ,46,New,8,1,Residential Zoning Review,2
